AOIFF,20180226,,12535.75,,493.15,NO,,3
AOLS,20180216,,31686,,7.6,NO,,
AON,20180508,9,1471510.5,2.34,33998.58,YES,0,4
AOS,20180426,8,1285567.75,0.56,10356.94,YES,0,2
AOSL,20180502,3,76672.9,0.25,348.58,YES,0,3
AOVTF,,,9700,,0.01,NO,,
AOWDF,,,2475,,933.82,NO,,3
AOXG,20180213,,34992.6,,4.58,NO,,
AOXY,20180212,,986,,0.27,NO,,
AP,20180313,1,25182.4,0.11,139.07,YES,,3
APA,20180222,10,4075629.5,0.21,14372.96,YES,-10.8,3
APAM,20180426,3,476321.69,0.68,2584.43,YES,0,2
APB,,,4668,,145.13,NO,,
APC,20180501,11,6050523,0.03,30750.26,YES,60,3
APD,20180426,7,1417894.25,1.66,33453.93,YES,0,2
APDN,20180510,1,152089.09,-0.11,45.77,YES,,
APEI,20180227,3,80920,0.33,380.67,YES,,3
APELY,,,2719.95,,5266.39,NO,,3
APEMY,20180501,,1112.8,,4574.05,NO,,4
APEN,20180314,3,41495.9,-0.34,108.07,NO,14.71,3
APEOF,20180417,,72630,,19.25,NO,,
APF,,,20048.7,,238.76,NO,,
APGI,20180213,,44247.05,,0.3,NO,,
APH,20180425,7,1661624.75,0.81,25782.84,YES,0,3
APHB,20180326,2,606114.31,-0.36,11.11,NO,-1.41,
APHQF,,,1418752.25,,2028.64,NO,,
APLD,,,1518.55,,0.05,NO,,
APLE,20180222,4,1452786.63,0.36,3945.95,YES,-0.23,3
APLP,20180222,3,230543.45,0.09,895.57,YES,1.79,4
APLS,,1,74552.65,-0.27,755.52,NO,,3
APNHY,,,15871.75,,9642.54,NO,,2
APNI,,,7648.7,,0.5,NO,,
APO,20180427,7,1172553.63,0.67,6199.09,YES,0,1
APOG,20180412,2,283366.75,0.92,1194.38,YES,,5
APOP,20180322,1,56835.95,-0.31,41.89,NO,,3
APPF,20180226,3,103119.35,0.09,1325.59,NO,44.44,4
APPN,20180222,5,387007.94,-0.16,1673.38,NO,-2.56,3
APPS,20180613,3,783664.81,-0.02,151.04,YES,25,3
APRI,20180312,1,691393.19,-0.13,34.24,NO,,3
APRN,20180213,8,2219711,-0.27,111.16,YES,6.1,4
APSI,,,4666.6,,1.24,NO,,
APT,20180306,,32816.35,,56.83,YES,,
APTI,20180503,5,541255.63,-0.09,979.01,YES,0,3
APTO,20180327,2,649452.44,-0.14,69.09,NO,,4
APTS,20180226,3,519986,0.35,551.65,YES,-0.48,5
APTV,20180502,6,2171683.5,1.33,23731.52,YES,0,3
APU,20180507,4,166283.95,1.27,4206.58,YES,-0.82,4
APVO,20180330,1,251907.05,-0.32,64.54,NO,,
APVS,,,64648,,0.43,NO,,
APWC,20180504,,7128.6,,36.62,NO,,
APYP,20180213,,9474786,,0.35,NO,,
AQ,20180510,3,466728.34,-0.02,474.53,NO,,3
AQB,20180215,,222466.2,,22.68,NO,,
AQMS,20180213,2,278953.09,-0.24,43.81,YES,,3
AQN,20180301,2,144134.8,0.12,3909.07,NO,0,3
AQXP,20180308,1,101270.25,-0.65,314.43,YES,,3
AR,20180213,10,3990879.5,0.18,5372.06,YES,4.32,3
ARA,20180306,3,99700.25,0.15,573.84,YES,17.39,4
ARAY,20180426,2,1530702.88,-0.11,430.73,YES,0,3
ARC,20180227,1,157801.8,0,99.42,YES,,3
ARCB,20180504,8,322298.31,0.35,844.73,YES,4.76,2
ARCC,20180213,9,2079637,0.37,6633.22,YES,-2.41,4
ARCH,20180213,4,294634.25,2.32,1886.39,YES,0,3
ARCI,20180330,,40382.95,,6.46,NO,,
ARCK,20180627,,768.75,,8.98,NO,,
ARCO,20180321,,459812.06,,2005.18,YES,,3
ARCT,20180221,1,75927.8,-0.56,63.36,YES,,3
ARCW,20180208,1,11574.3,-0.02,35.7,YES,,4
ARD,20180222,2,107447.2,0.22,348.38,YES,0,2
ARDM,20180327,,617234.5,,18.51,YES,,4
ARDX,20180216,2,267996.5,-0.39,292.34,YES,-19.48,3
ARE,20180507,4,748519.13,1.53,11599.95,YES,0,3
AREM,,,1887.5,,0.11,NO,,
ARES,20180215,5,113677.55,0.48,1792.21,YES,7.14,3
AREX,20180308,4,686128.13,-0.07,247.43,YES,0,3
ARGKF,20180306,,1137.6,,2638.12,NO,,3
ARGL,,,2073.55,,0.19,NO,,
ARGS,20180315,1,1179884.25,-2.6,9.76,YES,,
ARGX,,2,249683.34,-0.38,2444.34,NO,,3
ARI,20180214,2,1338869.75,0.22,1901.4,YES,68.89,3
ARII,20180223,4,64152.85,0.48,683.39,YES,,2
ARKAY,20180222,,18357.8,,9161.88,NO,,2
ARKR,20180209,,1601.95,,84.55,NO,,
ARL,20180402,,4022.9,,200.49,NO,,
ARLP,20180507,3,398153.84,0.55,2404.95,YES,0,2
ARLZ,20180312,3,585097.06,-0.34,112.37,YES,17.65,
ARMK,20180508,12,1292937.5,0.56,9968.47,YES,-0.84,3
ARMO,,,713821.88,,1216.7,NO,,
ARNA,20180313,3,567335.13,-0.64,1507.71,YES,-10.36,4
ARNC,20180424,4,4340509,0.24,11770.63,YES,0,3
AROC,20180222,2,835718.5,-0.03,699.46,YES,100,4
AROPQ,,,92274.35,,0.5,NO,,
AROW,20180419,,14628.15,,442.28,YES,,
ARQL,20180306,2,169733.75,-0.09,144.6,YES,0,3
ARR,20180221,1,504014.91,0.67,934.93,YES,,3
ARREF,20180228,1,243099.7,0.02,153.5,NO,0,4
ARRS,20180214,3,1624464.5,0.77,4387.52,YES,,5
